"id"	"sex"	"age"	"condition"	"response"	"accuracy"	"time"
"1"	1	"m"	25	"A"	34	31	173
"2"	2	"m"	23	"B"	32	10	197
"3"	3	"f"	26	"C"	85	32	463
"4"	4	"m"	27	"A"	46	54	291
"5"	5	"m"	21	"B"	37	36	139
"6"	6	"m"	27	"C"	65	16	272
"7"	7	"f"	25	"A"	28	55	162
"8"	8	"m"	22	"B"	42	24	167
"9"	9	"f"	21	"C"	73	25	363
"10"	10	"m"	26	"A"	53	35	305
"11"	11	"f"	25	"B"	46	112	331
"12"	12	"f"	25	"C"	67	23	337
"13"	13	"m"	27	"A"	34	49	179
"14"	14	"m"	28	"B"	13	53	78
"15"	15	"f"	25	"C"	59	17	251
"16"	16	"f"	24	"A"	44	47	205
"17"	17	"m"	28	"B"	51	38	196
"18"	18	"m"	23	"C"	46	26	259
"19"	19	"m"	23	"A"	46	51	196
"20"	20	"f"	24	"B"	44	44	198
"21"	21	"f"	30	"C"	72	26	381
"22"	22	"f"	23	"A"	37	43	151
"23"	23	"f"	26	"B"	54	37	233
"24"	24	"f"	23	"C"	63	29	356
"25"	25	"m"	23	"A"	24	47	116
"26"	26	"m"	24	"B"	51	2	436
"27"	27	"f"	28	"C"	65	17	264
"28"	28	"f"	24	"A"	37	38	220
"29"	29	"f"	27	"B"	46	22	220
"30"	30	"m"	22	"C"	64	26	428
"31"	31	"m"	24	"A"	34	60	214
"32"	32	"f"	23	"B"	42	24	251
"33"	33	"m"	24	"C"	58	17	284
"34"	34	"f"	27	"A"	36	45	325
"35"	35	"f"	25	"B"	47	37	232
"36"	36	"f"	25	"C"	57	22	252
"37"	37	"m"	26	"A"	48	43	299
"38"	38	"f"	24	"B"	39	3	287
"39"	39	"f"	22	"C"	53	27	350
"40"	40	"m"	24	"A"	47	57	224
"41"	41	"m"	25	"B"	46	30	270
"42"	42	"f"	27	"C"	36	24	126
"43"	43	"f"	24	"A"	42	49	223
"44"	44	"f"	24	"B"	44	23	158
"45"	45	"f"	28	"C"	44	27	283
"46"	46	"m"	23	"A"	33	45	149
"47"	47	"f"	26	"B"	48	0	411
"48"	48	"f"	24	"C"	78	15	394
"49"	49	"m"	26	"A"	66	63	404
"50"	50	"m"	22	"B"	33	8	165
"51"	51	"m"	24	"C"	36	23	126
"52"	52	"m"	24	"A"	24	60	159
"53"	53	"m"	27	"B"	36	1	163
"54"	54	"m"	24	"C"	64	35	303
"55"	55	"f"	26	"A"	24	38	41
"56"	56	"m"	24	"B"	44	20	168
"57"	57	"m"	23	"C"	66	34	308
"58"	58	"m"	26	"A"	43	44	222
"59"	59	"f"	24	"B"	29	2	224
"60"	60	"m"	28	"C"	50	21	256
"61"	61	"m"	26	"A"	67	60	325
"62"	62	"f"	25	"B"	36	27	68
"63"	63	"f"	26	"C"	70	25	312
"64"	64	"f"	25	"A"	37	33	189
"65"	65	"m"	26	"B"	43	25	194
"66"	66	"m"	24	"C"	55	17	300
"67"	67	"m"	21	"A"	27	39	124
"68"	68	"m"	25	"B"	58	24	392
"69"	69	"m"	26	"C"	60	31	337
"70"	70	"f"	23	"A"	36	38	151
"71"	71	"m"	23	"B"	48	84	223
"72"	72	"m"	24	"C"	74	21	313
"73"	73	"f"	24	"A"	65	39	268
"74"	74	"f"	26	"B"	27	49	110
"75"	75	"f"	25	"C"	56	25	183
"76"	76	"f"	27	"A"	32	37	136
"77"	77	"f"	28	"B"	21	36	163
"78"	78	"f"	25	"C"	59	18	293
"79"	79	"f"	25	"A"	35	49	131
"80"	80	"m"	26	"B"	30	63	54
"81"	81	"m"	24	"C"	73	24	402
"82"	82	"f"	25	"A"	37	64	173
"83"	83	"f"	25	"B"	30	207	129
"84"	84	"f"	26	"C"	59	25	314
"85"	85	"m"	25	"A"	47	40	281
"86"	86	"f"	25	"B"	33	43	163
"87"	87	"f"	25	"C"	56	10	302
"88"	88	"m"	25	"A"	47	40	223
"89"	89	"m"	27	"B"	44	404	121
"90"	90	"f"	25	"C"	71	25	326
"91"	91	"f"	24	"A"	35	61	160
"92"	92	"m"	24	"B"	50	25	359
"93"	93	"m"	24	"C"	56	94	295
"94"	94	"m"	25	"A"	21	30	51
"95"	95	"f"	27	"B"	41	1	212
"96"	96	"m"	26	"C"	74	102	383
"97"	97	"f"	25	"A"	59	40	310
"98"	98	"m"	25	"B"	44	12	240
"99"	99	"m"	26	"C"	57	95	260
"100"	100	"f"	25	"A"	28	58	77
"101"	101	"m"	21	"B"	21	64	124
